hotel_name,hotel_description,review_title,review_text,tripdate,hotel_url,hotel_image,price_range,rating_value,review_count,street_address,locality,country,sentiment_rate,sentiment_rate_average
The Story Hotel Pera,"The building named after Kumbaracı Ramp, one of the most well-known streets of Beyoğlu consists of 24 rooms with a surface area of approximately 23-61 sq. meters and bar with a fireplace, restaurant and bistro.This building that attracts the attention of people walking by in Istiklal Street with its historical exteriors is located in Asmalı Mescit that became the center of not only our cultural heritage but also the entertainment with lively cafés and restaurants.Asmalı Mescit, the most well-known area of Beyoğlu and the most popular district of historical Pera resisting to being forgotten and defeated by time is the meeting point of entertainment lovers thanks to its night clubs and bars. Current historic fabric was restored with modern lines and it is surrounded by boutique hotels, restaurants and entertainment facilities. Thus Asmalımescit, the center of night life in Istanbul and the mirror of Beyoğlu not only entertains but also displays the finest details of cultural heritage. The building of The Story Hotel Pera dating back to early 1900s and matching with this location elegantly features the typical characteristics of French architecture that forms the architectural style of Beyoğlu predominantly. It was intended to create large suit rooms in this building which was decorated successfully to maximize the functionality. The Story Hotel Pera combines the modernism and history with its high ceilings, large passageways, marble spiral staircase and bar in the ground floor.",A beautiful Story!,, July 2022,https://www.tripadvisor.com/Hotel_Review-g293974-d2049041-Reviews-The_Story_Hotel_Pera-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/22/a6/a8/9a/entrance-the-story-hotel.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,166,KumbaracI Sk. No 66 Beyoglu,Istanbul,Turkiye,0.9985478520393372,0.9988036543130875
Hotel Amira Istanbul,"Hotel Amira Istanbul is a boutique hotel located at the heart of the centuries old empire's capital. Some remarkable neighbors of the Hotel Amira Istanbul are the great Hagia Sophia, the magnificent Blue Mosque, the mystic Basilica Cistern, the imperial Topkapi Palace and the colorful Grand Bazaar. Amira Hotel offers you spaciously designed 32 rooms in Sultanahmet area, featuring very comfortable visco mattresses, local touches like ottoman style hand-made ceiling paintings. Along with its world famous cordial guest services, Amira Hotel offers a rich, complimentary buffet breakfast, free Wi-Fi access, a gym and massage services. Also our concierge would be more than happy to assist you in every aspect of your stay, whether business or pleasure.",Great Istanbul Hotel for families close to all the sights,, August 2023,https://www.tripadvisor.com/Hotel_Review-g293974-d1674691-Reviews-Hotel_Amira_Istanbul-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/48/d2/47/exterior.jpg?w=500&h=-1&s=1,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,4662,Kucuk Ayasofya Mah. Mustafa Pasa Sok. No: 43,Istanbul,Türkiye,0.9988974332809448,0.7992339134216309
Mula Hotel,"Mula Hotel provides an intimate atmosphere and an ultimate luxury in the heart of this historical city. The Hotel's modern architecture creates a variety of unique rooms and suites,all nestled around a beautifully landscape terrace. Our 41-room hotel offers a serene ambiance and a calming atmosphere in the hands of hospitality professionals. While Mula is only a few steps away from the most well known historical attractions such as the Blue Mosque, Hagia Sophia and the Topkapi Palace; You are most welcome to enjoy thebreathtaking views of Sea of Marmara.",Beautiful,, December 2022,https://www.tripadvisor.com/Hotel_Review-g293974-d24067960-Reviews-Mula_Hotel-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/24/16/88/4c/hotel.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,197,Kucuk Ayasofya Mah. CayIroglu Sok. No: 46 Sultanahmet Sultanahmet,Istanbul,Turkiye,0.9986754059791565,0.8988158568739891
Sirkeci Mansion,"We are located next to the Topkapi palace in the heart of Istanbul and from where we are we invite you to explore the mysteries of two thousand years. In hopes of capturing the spirit of the area, our Konak's atmosphere, decor and design take a revolutionary approach in combining 19th century style with 21st century comfort. Combined with this atmosphere, what if we offer the promise of distinctive hospitality? Just imagine!",Excellent hotel in Istanbul,"This was a return visit for one of us and first time for me. Location is fabulous, walking distance to so many key attractions and eating places. The hotel is clean, comfortable and quiet But maybe best of all is the staff - the feeling is one of a family run hotel and all the staff are friendly, helpful and kind. Special thanks to Mr Agah Okay for his advice We will definitely return", January 2024,https://www.tripadvisor.com/Hotel_Review-g293974-d654651-Reviews-Sirkeci_Mansion-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/1c/c4/e6/4c/sirkeci-mansion.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,3648,Taya Hatun Sokak No:5,Istanbul,Turkiye,0.9988486766815186,0.9488879263401031
Tomtom Suites,"Tomtom Suites, The Old Franciscan House is an authentic Istanbul building whose posture reflects the social history of Pera from 1850’s to recent. Throughout its history, this building was home for French nuns and some well-known Levantine families. Now it is ready to host its new guests with its ""unique"" service policy and a new design, pairing modern comfort with historical background. Tomtom Suites, The Old Franciscan House has 20 suites, a terrace offering a panoramic view of old town and a nostalgic outlook. It tells the story of an over 100 years old building with a stylish language, but without loosing the essence of the story.","Delightful Experience at Tomtom Suites, Istanbul","My stay at Tomtom Suites was a highlight of our Istanbul trip, thanks to the exceptional service, especially from Sinan at the reception. He was incredibly welcoming, offering early check-in and storing my luggage. Sinan's local tips enhanced our exploration of the vibrant Beyoğlu area, known for its bars and restaurants.  The hotel itself is a charming boutique establishment. The attention to detail in its design and the stunning views from many rooms, particularly over the Golden Horn, are remarkable. The responsiveness and helpfulness of the staff, especially in arranging amenities like massages, made our stay comfortable and memorable.  In short, Tomtom Suites combines excellent service, a prime location, and boutique elegance, ensuring a return visit on my next trip to", November 2023,https://www.tripadvisor.com/Hotel_Review-g293974-d1194862-Reviews-Tomtom_Suites-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/2f/1d/22/la-mouette-terrace.jpg?w=500&h=-1&s=1,$$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,1315,Boğazkesen Cad No:18 Firuzağa Mah.,Istanbul,Türkiye,0.9988924860954285,0.9490650355815887
Sura Hagia Sophia Hotel,"Sura Hagia Sophia Hotel, located in Sultanahmet, which hosts thousands of tourists and represents Istanbul in a cultural sense, is the first choice of tourists with its magnificent and modern structure. Sura Hagia Sophia Hotel is home to a unique view of Europe and the Anatolian side with 222 room capacity and 6 different room styles. On the one hand, the historical Ottoman Bath which offers the experiences of the sultans and sultans in the Ottoman palaces, Spa Soul which you can relax and relax on your day... While aiming for the highest level in terms of quality of service by approaching with the understanding of "" we think that comfort should be best provided in the environment. Our hotel, which draws attention with its proximity to Sultanahmet Square, Topkapi Palace, Grand Bazaar, and millions of tourists flock to Taksim Square, will be the right choice for you to have a pleasant and peaceful time.",Enjoyable,"The bed was too high Didn’t get a late checkout  The service was very good , especially in the restaurant. Abdullah was attentive and helped he spoke English and Urdu.  We liked the location of the hotel and would definitely stay there again.  I highly recommend this city hotel, perfect location.", January 2024,https://www.tripadvisor.com/Hotel_Review-g293974-d6511304-Reviews-Sura_Hagia_Sophia_Hotel-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/1c/6c/9b/2e/sura-hagia-sophia-hotel.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),4.5,934,Divanyolu Cd. Alemdar Mah. Ticarethane Sk. No. 10,Istanbul,Turkiye,0.9987967014312744,0.5982893541455269
Ramada by Wyndham Istanbul Old City,"Recently renovated in 2016. Ramada Istanbul Old City is next to Findikzade tram station and the hotel offers rooms with free Wi-Fi and a flat-screen TV. Facilities include a restaurant and a bar. The air-conditioned rooms are decorated with warm colours and wooden furniture. All rooms have a work desk, complimentary tea/coffee facilities, a minibar and an en suite bathroom. Some rooms have a spacious seating area.",1 traveled with my family to Istanbul and I want to share my honest review about this wonderful hotel.,"1 traveled with my family to Istanbul and I want to share my honest review about this wonderful hotel. Our experience at Hotel Ramada was exceptional. The staff's hospitality was outstanding - they were not only helpful but also incredibly kind and generous. The cleanliness of the hotel was impeccable, and the safety measures in place made it feel like a second home. I highly recommend Hotel Ramada for a memorable, welcoming, and secure stay. Especially Semi HUNI and Yigit they were very professional and helpful. When ever i ask for something it took few minutes. Booking prices was quiet good, everything is nearby (Bus, tramway, taxi) food ( breakfast, restaurants, refreshments, shops, fashion .... etc)", January 2024,https://www.tripadvisor.com/Hotel_Review-g293974-d296327-Reviews-Ramada_by_Wyndham_Istanbul_Old_City-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/ff/91/ca/exterior.jpg?w=500&h=-1&s=1,$ (Based on Average Nightly Rates for a Standard Room from our Partners),4.5,850,Turgut Ozal Millet Caddesi 82 Findikzade,Istanbul,Türkiye,0.9988982677459717,0.8975153982639312
MySuite Istanbul,"All residences offered by MySuite Istanbul are located in the heart of the city, with the feel of home in the SoHo of Istanbul. All suites are equipped with modern conveniences such as a washing machine, air conditioning/heating, free Wi-Fi, LCD television and DVD player. All have fully furnished kitchens, many with dishwashers and all with comfortable living spaces. Bathroom amenities are modern and newly renovated to ensure satisfaction. Located in the trendy neighbourhood of Cihangir, a stone throw from Taksim Square, each apartment has easy access to tourist attractions as well as many local and international restaurants without the feel of staying in a big city. Also within a short walk are the many bars, cafes and art galleries of the renowned strip Istiklal Caddesi. Guests should choose MySuite Istanbul not only for the fantastic accommodation provided but also for the unbeatable services that comes with it. A tour desk to plan and book a last minute tour or organize all your travel needs in Turkey. MySuite Istanbul also offers airport transfers as well as other invaluable tips for enjoying your time here.",Fantastic location and stay in the heart of Istanbul,, August 2023,https://www.tripadvisor.com/Hotel_Review-g293974-d3484310-Reviews-MySuite_Istanbul-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/e8/0b/78/mysuite-istanbul.jpg?w=500&h=-1&s=1,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,372,Firuzaga Mah. Turkgucu Caddesi No:74 / A,Istanbul,Türkiye,0.9988844990730286,0.9984833762049675
Wyndham Istanbul Oldcity,"Wyndham Istanbul Oldcity is a 138-room hotel located in the heart of Istanbul, within walking distance of many of the city's most popular attractions, including the Grand Bazaar, Hagia Sophia, and Blue Mosque. The hotel offers a variety of luxury guest rooms and suites, all of which feature modern amenities and stylish décor. Some of the hotel's facilities and amenities include: A rooftop terrace with stunning views of the city An indoor pool and fitness center A spa and wellness center A business center A variety of restaurants and bars 24-hour room service The hotel also offers a variety of services and amenities to make your stay more enjoyable, such as: Complimentary Wi-Fi Daily housekeeping Laundry and dry cleaning services Airport shuttle Tour desk Wyndham Istanbul Oldcity is the perfect place to stay for your next trip to Istanbul. With its convenient location, luxurious accommodations, and excellent amenities, you're sure to have a memorable stay.",Awful,Don’t waste your time or money. This is no where near a 5star I would say two star at the most. The rooms were a hazard always an unpleasant smell throughout the hotel. Food was awful too. Need I say anymore !! The amount of complaints we made whilst there. The position is the only good thing !!, January 2024,https://www.tripadvisor.com/Hotel_Review-g293974-d6954357-Reviews-Wyndham_Istanbul_Oldcity-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/2b/43/07/07/exterior.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),4.5,1125,Kemalpasa Mah. Sehzadebasi Cad. Celal Aga Konagi No 1,Istanbul,Turkiye,-0.9994528889656067,0.1972695142030716
Cheers Lighthouse,"Introducing Cheers Lighthouse, the outcast of the Bohemian Cheers Hostel family. Lighthouse is for the more luxurious backpacker. Complete with ocean views and situated above a restaurant, Lighthouse has all the comforts for a relaxing stay but with the Cheers infamous friendly relaxed atmosphere.Our hostel offers a comfortable, clean and budget stay in a warm and friendly atmosphere.",Great stay at Cheers Lighthouse ,"Had a great time at Cheers lighthouse. Stayed in a private room as well as a dorm and both rooms were comfortable and clean. The staff are super friendly and helpful and the Hostel has a good atmosphere with social events most nights, very easy to meet people. Thanks for having me!", October 2023,https://www.tripadvisor.com/Hotel_Review-g293974-d4475598-Reviews-Cheers_Lighthouse-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/11/6e/1e/51/superior-room-with-sea.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,692,Kucuk Ayasofya Mah. Cayiroglu Sok. No:18 Sultanahmet,Istanbul,Turkiye,0.9988681077957153,0.8569107964634896
"Crowne Plaza Istanbul - Florya, an IHG hotel","Stylish seaside hotel with an outdoor pool and meeting facilities, next to Istanbul Aquarium and Aqua Florya Mall. Ideal for business and leisure travellers, Crowne Plaza® Istanbul - Florya hotel is a 15-minute drive from CNR Expo and IDTM exhibition centres. We provide free parking in our secure lot. Transport links by bus, train and road are excellent. We have six fully equipped meeting rooms with a maximum capacity of 800, while our outdoor banquet area has room for 1,250 guests. Our Crowne Plaza Meetings Director is on hand to take care of all the details. The hotel has free Wi-Fi throughout and is completely connected, providing access to power when and where you need it. The Aqua Florya shopping centre and Istanbul Aquarium are both next door to the hotel. Tutankhamun, Treasures of the Child King is at Istanbul Aquarium Event Center until the end of the year. The exhibition, appealing to visitors from all age groups,will be magnificent.",Thabk you Pelini,, June 2023,https://www.tripadvisor.com/Hotel_Review-g293974-d8413771-Reviews-Crowne_Plaza_Istanbul_Florya_an_IHG_hotel-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/2a/83/b7/e1/hotel-exterior.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),4.5,1148,Senlikkoy Mah. Yesilkoy Halkali Cad. No: 95 Senlikköy Mahallesi,Istanbul,Turkiye,0.9264622330665588,0.6450012713670731
AJWA Sultanahmet,"More than a mere five-star hotel, AJWA Sultanahmet offers serenity and gracious hospitality in settings akin to a private mansion. Adorned with exquisite mother-of-pearl furniture, silk Tabriz carpets, original artwork, unique marble work, hand-painted ceilings and specially commissioned tiles throughout its 61 rooms, suites and public areas, the hotel embraces all aspects of luxury hospitality with a halal approach. Smoking and use of all tobacco products is prohibited in guest rooms and all public areas with the exception of designated area for smokers. The hotel is alcohol-free. In keeping with the significance of the word “AJWA”, a type of date associated with health and well-being which emanates from the holy city of Madinah, AJWA Hotels too offers a secure and welcoming environment to all of its guests, local and international alike.",Amazing Ajwa - a true five star treat in old Istanbul ,, January 2020,https://www.tripadvisor.com/Hotel_Review-g293974-d10619176-Reviews-AJWA_Sultanahmet-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3c/2c/a3/ajwa-hotel-sultanahmet.jpg?w=500&h=-1&s=1,$$ (Based on Average Nightly Rates for a Standard Room from our Partners),5.0,625,Piyerloti Caddesi No:30 Sultanahmet,Istanbul,Türkiye,0.9989222288131714,0.6996033355593682
Skalion Hotel & Spa,"Skalion Hotel & Spa is a 4-star hotel located in Kumkapı where the heart of the Old City of Istanbul. As a calm and peaceful place in Kumkapı where Istanbul’s heart skips a beat in the European Side of Istanbul, whereas it is a facility stealing visitors' hearts with hospitality, making their memories unforgettable and where there are all kinds of comforts and activities are available. Kumkapı which was named Konto Skalion was means a small pier in the Byzantine period. Grand Bazaar is 7 minutes by walk away and it’s a short stroll through mystic and traditional parts of the city. Beyazit tram station and Vezneciler or Yenikapı metro station are around the corner with tram and metro running to main attractions of the city such as Sultanahmet, Eminönü, Karaköy, Taksim and Kabataş. Beyazit tram station will take you to Sultanahmet in six minutes to reach the spiritual Blue Mosque, Hagia Sophia, Basilica Cistern, Topkapı Palace, and many more or you can easily walk to Sultanahmet in 15 minutes. The hotel is located only a 44 km distance from Istanbul and Sabiha Gökçen Airport. Fitted with stylish, modern furnishings, the hotel’s spacious, air-conditioned rooms all come equipped with free WiFi. Stay on top of business at the work desk, or kick back and relax in front of the TV. To enjoy a separate living room, sea view book one of the hotel's suites. Skalion Sea View Roof Restaurant with a terrace in a total of 200 m² and with a capacity of 120 persons provides breakfast, lunch, and dinner services.",Beautiful Mariem,It was a great stay I’m sooo happy to see mariem she was wonderful girl with a beautiful smile thank you so much mariem the breakfast was delicious and varied and the location also was very very good thank you skalion hotel I will absolutely back again, January 2024,https://www.tripadvisor.com/Hotel_Review-g293974-d6402794-Reviews-Skalion_Hotel_Spa-Istanbul.html,https://media-cdn.tripadvisor.com/media/photo-s/1d/bf/6b/9a/logo-certified.jpg,$ (Based on Average Nightly Rates for a Standard Room from our Partners),4.5,1729,Mimar Hayrettin Mah. Cifte Gelinler Cad. No:6,Istanbul,Turkiye,0.9986751675605774,0.8513122543692588
